time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-25T10:14:00.900Z,36.7423,-116.2892,9.8,0.1,ml,8,220.49,0.069,0.06,nn,nn00786168,2020-11-25T10:41:19.415Z,"45 km ESE of Beatty, Nevada",earthquake,,2.1,,,automatic,nn,nn
2020-11-25T10:13:36.880Z,38.8050003,-122.8209991,3.06,0.53,md,13,57,0.007467,0.05,nc,nc73486976,2020-11-25T11:01:06.198Z,"6km WNW of The Geysers, CA",earthquake,0.37,0.76,0.04,3,automatic,nc,nc
2020-11-25T10:12:05.426Z,62.8654,-150.893,33.4,2.5,ml,,,,1.73,ak,ak020f5xdcia,2020-11-25T10:25:51.460Z,"41 km N of Petersville, Alaska",earthquake,,2.6,,,automatic,ak,ak
2020-11-25T10:10:59.079Z,0.4492,98.2838,12.7,4.4,mb,,180,1.105,0.57,us,us6000cseb,2020-11-25T10:37:44.040Z,"150 km SW of Padangsidempuan, Indonesia",earthquake,4,5.8,0.123,19,reviewed,us,us
2020-11-25T10:06:39.370Z,17.9621,-66.9123,14,2.34,md,9,200,0.0356,0.13,pr,pr2020330007,2020-11-25T10:36:22.541Z,"1 km SSW of Guánica, Puerto Rico",earthquake,0.63,0.5,0.08,3,reviewed,pr,pr
2020-11-25T09:58:03.310Z,17.9541,-66.8311,11,2.74,md,15,190,0.0525,0.3,pr,pr2020330006,2020-11-25T10:22:03.629Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.86,0.71,0.2,8,reviewed,pr,pr
2020-11-25T09:57:00.565Z,36.14505386,-98.16975403,2.746332169,2.45,ml,37,57.07658386,0.1836751848,0.5037525993,ok,ok2020xdwe,2020-11-25T10:00:06.685Z,"11 km S of Ames, Oklahoma",earthquake,1.914283842,1.693478484,,29,automatic,ok,ok
2020-11-25T09:55:51.880Z,38.167,-117.8298,10.6,2.1,ml,23,50.35,0.044,0.09,nn,nn00786163,2020-11-25T10:10:04.004Z,"34 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-25T09:50:03.050Z,33.5933333,-116.8086667,5.82,1.2,ml,49,31,0.0372,0.19,ci,ci39476615,2020-11-25T10:00:54.030Z,"13km WNW of Anza, CA",earthquake,0.22,0.51,0.141,26,automatic,ci,ci
2020-11-25T09:49:18.620Z,19.1658325195312,-155.469329833984,32.5400009155273,2.1400001,md,46,163,,0.140000001,hv,hv72244407,2020-11-25T09:52:28.920Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.7,1.01999998,0.680000007,25,automatic,hv,hv
2020-11-25T09:38:39.330Z,38.1612,-117.8785,4.5,0.8,ml,12,107.52,0.007,0.08,nn,nn00786162,2020-11-25T09:56:59.945Z,"32 km SE of Mina, Nevada",earthquake,,6.1,,,automatic,nn,nn
2020-11-25T09:35:52.994Z,60.965,-151.0586,67.7,1.7,ml,,,,0.8,ak,ak020f5wx1k3,2020-11-25T09:44:27.126Z,"12 km SSE of Tyonek, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-25T09:28:57.210Z,19.3759994506836,-155.218505859375,1.08000004291534,2.53,ml,40,103,,0.189999998,hv,hv72244367,2020-11-25T09:34:28.080Z,"7 km SSE of Volcano, Hawaii",earthquake,0.32,0.219999999,0.31,19,automatic,hv,hv
2020-11-25T09:21:52.990Z,19.4128341674805,-155.269332885742,1.86000001430511,1.78999996,md,19,48,,0.25,hv,hv72244357,2020-11-25T09:27:22.140Z,"4 km SW of Volcano, Hawaii",earthquake,0.36,0.430000007,0.680000007,15,automatic,hv,hv
2020-11-25T09:18:06.282Z,62.7733,-151.3685,74.4,1.9,ml,,,,0.29,ak,ak020f5wtas4,2020-11-25T09:21:34.715Z,"43 km NW of Petersville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-25T09:01:01.366Z,61.0179,-150.6817,52.7,1.6,ml,,,,0.39,ak,ak020f5wpn88,2020-11-25T09:04:53.004Z,"10 km N of Point Possession, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-11-25T08:55:01.100Z,38.1555,-117.838,9.5,1.7,ml,20,57.22,0.025,0.05,nn,nn00786158,2020-11-25T09:28:42.001Z,"35 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-11-25T08:52:31.370Z,38.8278351,-122.809166,1.66,0.88,md,13,67,0.00449,0.03,nc,nc73486961,2020-11-25T09:40:05.501Z,"7km NW of The Geysers, CA",earthquake,0.3,0.74,,1,automatic,nc,nc
2020-11-25T08:47:31.239Z,36.53268433,-98.98792267,2.794808388,2.62,ml,28,96.3815155,0.0461582765,0.5961264632,ok,ok2020xdtx,2020-11-25T08:52:55.910Z,"10 km NNE of Quinlan, Oklahoma",earthquake,2.496640531,1.622859172,,14,automatic,ok,ok
2020-11-25T08:45:42.220Z,38.8258324,-122.810997,1.32,0.56,md,9,87,0.002538,0.01,nc,nc73486956,2020-11-25T09:15:08.333Z,"7km NW of The Geysers, CA",earthquake,0.3,0.82,,1,automatic,nc,nc
2020-11-25T08:45:33.900Z,38.1452,-117.7803,10.2,1.4,ml,13,117.78,0.05,0.04,nn,nn00786154,2020-11-25T08:56:00.197Z,"39 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-25T08:44:01.542Z,32.1007,-102.1238,1.67,3.3,mb_lg,,32,0.148,0.37,us,us6000csdd,2020-11-25T11:06:53.316Z,"12 km NNW of Midland, Texas",earthquake,1.7,7.1,0.06,75,reviewed,us,us
2020-11-25T08:41:20.842Z,63.4574,-147.7492,13,1.9,ml,,,,0.71,ak,ak020f5wctrj,2020-11-25T08:45:40.981Z,"60 km E of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-25T08:36:33.620Z,19.3700008392334,-155.183502197266,2.46000003814697,2.05,ml,35,125,,0.150000006,hv,hv72244252,2020-11-25T08:42:04.400Z,"9 km SSE of Volcano, Hawaii",earthquake,0.46,0.439999998,0.21,14,automatic,hv,hv
2020-11-25T08:31:15.760Z,19.4856662750244,-155.665161132812,1.50999999046326,1.86000001,md,28,76,,0.280000001,hv,hv72244237,2020-11-25T08:34:26.110Z,"21 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.56,1.60000002,0.589999974,9,automatic,hv,hv
2020-11-25T08:21:25.490Z,19.2273330688477,-155.408996582031,31.25,1.75999999,md,25,199,,0.180000007,hv,hv72244222,2020-11-25T08:24:35.370Z,"7 km ENE of Pāhala, Hawaii",earthquake,1.09,0.879999995,0.699999988,3,automatic,hv,hv
2020-11-25T08:20:00.860Z,38.8273315,-122.810997,1.35,1.19,md,25,40,0.003996,0.02,nc,nc73486951,2020-11-25T08:49:04.146Z,"7km NW of The Geysers, CA",earthquake,0.16,0.3,0.17,6,automatic,nc,nc
2020-11-25T08:04:09.350Z,38.1747,-117.9515,4.5,1,ml,8,146.1,0.035,0,nn,nn00786152,2020-11-25T08:46:18.977Z,"27 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-25T08:01:53.831Z,62.5791,-151.2362,80.3,2.4,ml,,,,0.63,ak,ak020f5w4bow,2020-11-25T08:06:56.966Z,"25 km WNW of Petersville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-25T07:53:15.785Z,62.2278,-150.1523,19,1.5,ml,,,,0.37,ak,ak020f5vtyd6,2020-11-25T08:03:36.370Z,"10 km SSE of Trapper Creek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-25T07:30:13.410Z,19.2358341217041,-155.404830932617,32.9500007629395,1.99000001,md,44,139,,0.109999999,hv,hv72244117,2020-11-25T07:33:17.700Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.64,0.810000002,0.25999999,9,automatic,hv,hv
2020-11-25T07:23:51.620Z,19.2339992523193,-155.406829833984,32.0999984741211,2,md,39,140,,0.109999999,hv,hv72244107,2020-11-25T07:26:57.660Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.6,0.810000002,0.230000004,5,automatic,hv,hv
2020-11-25T07:15:27.760Z,19.2318325042725,-155.413162231445,6.6100001335144,2.65,ml,24,191,,0.239999995,hv,hv72244072,2020-11-25T07:21:00.080Z,"7 km ENE of Pāhala, Hawaii",earthquake,1.27,1.55999994,3.67,6,automatic,hv,hv
2020-11-25T07:15:21.730Z,19.2358341217041,-155.402496337891,32.0299987792969,2.75,ml,51,142,,0.129999995,hv,hv72244082,2020-11-25T09:37:45.040Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.48,0.629999995,1.63,29,automatic,hv,hv
2020-11-25T07:14:46.510Z,19.2261657714844,-155.399505615234,33.7599983215332,2.74,ml,46,150,,0.100000001,hv,hv72244077,2020-11-25T07:21:05.090Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.55,0.74000001,1.61,30,automatic,hv,hv
2020-11-25T07:07:22.710Z,33.0873333,-116.5505,6.7,0.97,ml,28,103,0.04001,0.18,ci,ci39476591,2020-11-25T07:11:02.348Z,"5km ENE of Julian, CA",earthquake,0.36,0.48,0.188,18,automatic,ci,ci
2020-11-25T06:59:58.810Z,55.1471,-159.6832,52.5,4.1,mb,,113,0.321,0.84,us,us6000csct,2020-11-25T07:36:53.040Z,"56 km ESE of Sand Point, Alaska",earthquake,11,17.9,0.261,4,reviewed,us,us
2020-11-25T06:59:13.876Z,-0.7213,127.7768,39.66,4.4,mb,,116,1.538,0.49,us,us6000cscv,2020-11-25T09:18:34.040Z,"163 km S of Sofifi, Indonesia",earthquake,8.2,5,0.134,16,reviewed,us,us
2020-11-25T06:58:20.430Z,38.0902,-118.255,0.4,1.6,ml,13,84.81,0.161,0.31,nn,nn00786147,2020-11-25T07:44:20.331Z,"35 km SSW of Mina, Nevada",earthquake,,20.7,,,automatic,nn,nn
2020-11-25T06:38:45.490Z,33.7126667,-116.7583333,14.43,0.92,ml,36,40,0.03685,0.19,ci,ci39476583,2020-11-25T06:42:34.182Z,"5km SW of Idyllwild, CA",earthquake,0.3,0.49,0.182,25,automatic,ci,ci
2020-11-25T06:31:49.140Z,61.659,-150.7779,51.4,1.8,ml,,,,0.3,ak,ak020f5v3vky,2020-11-25T06:50:38.841Z,"19 km NW of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-25T06:29:10.740Z,18.0091,-66.7335,14,2.15,md,13,140,0.1316,0.2,pr,pr2020330005,2020-11-25T06:50:19.278Z,"2 km NW of Tallaboa, Puerto Rico",earthquake,0.68,0.56,0.08,6,reviewed,pr,pr
2020-11-25T06:23:55.920Z,38.8334999,-122.8181686,1.75,0.56,md,13,59,0.01191,0.02,nc,nc73486926,2020-11-25T07:24:05.608Z,"8km NW of The Geysers, CA",earthquake,0.33,0.67,,1,automatic,nc,nc
2020-11-25T06:19:52.250Z,35.6555,-117.4655,4.82,0.58,ml,10,166,0.0689,0.2,ci,ci39476575,2020-11-25T06:23:22.862Z,"14km SSW of Searles Valley, CA",earthquake,0.92,1.87,0.195,5,automatic,ci,ci
2020-11-25T05:56:04.870Z,33.6021667,-116.8016667,5.09,0.32,ml,19,83,0.03247,0.12,ci,ci39476431,2020-11-25T05:59:57.579Z,"13km WNW of Anza, CA",earthquake,0.31,0.48,0.174,6,automatic,ci,ci
2020-11-25T05:51:50.410Z,33.2163333,-116.6518333,17.89,0.41,ml,13,153,0.01756,0.22,ci,ci39476423,2020-11-25T05:55:38.675Z,"8km SSW of Warner Springs, CA",earthquake,0.61,0.88,0.188,5,automatic,ci,ci
2020-11-25T05:40:25.540Z,33.998,-117.1423333,17.11,0.85,ml,14,188,0.05648,0.2,ci,ci39476407,2020-11-25T05:44:04.026Z,"7km SSE of Redlands, CA",earthquake,1.13,0.96,0.215,19,automatic,ci,ci
2020-11-25T05:36:44.510Z,17.9561,-66.9823,10,2.17,md,16,198,0.0633,0.12,pr,pr2020330004,2020-11-25T06:00:50.940Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,0.5,0.36,0.14,9,reviewed,pr,pr
2020-11-25T05:15:27.947Z,63.0909,-150.4693,29.4,2.2,ml,,,,1.08,ak,ak020f5ueyw4,2020-11-25T05:30:20.695Z,"67 km NNE of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-11-25T05:12:55.340Z,17.9481,-66.7976,9,2.17,md,12,200,0.086,0.2,pr,pr2020330003,2020-11-25T05:42:12.670Z,"Puerto Rico region",earthquake,0.66,0.95,0.12,7,reviewed,pr,pr
2020-11-25T05:12:42.170Z,38.166,-117.9798,2.6,1.3,ml,15,115.32,0.026,0.07,nn,nn00786144,2020-11-25T06:59:19.715Z,"27 km SSE of Mina, Nevada",earthquake,,2,,,automatic,nn,nn
2020-11-25T05:09:05.560Z,33.1983333,-116.7291667,7.06,0.7,ml,22,61,0.045,0.2,ci,ci39476399,2020-11-25T05:12:51.451Z,"6km SSE of Lake Henshaw, CA",earthquake,0.32,0.64,0.222,14,automatic,ci,ci
2020-11-25T05:07:03.690Z,33.5918333,-116.8025,7.14,0.3,ml,16,75,0.05365,0.19,ci,ci39476391,2020-11-25T05:10:47.959Z,"13km WNW of Anza, CA",earthquake,0.45,0.88,0.138,9,automatic,ci,ci
2020-11-25T04:53:32.670Z,38.1573,-117.8628,6.2,1.1,ml,14,98.62,0.006,0.11,nn,nn00786139,2020-11-25T05:05:39.283Z,"33 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-25T04:47:56.902Z,63.0623,-148.9906,9.7,3.3,ml,,,,0.94,ak,ak020f5u0gbo,2020-11-25T05:02:51.040Z,"36 km S of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-25T04:22:20.210Z,37.4461667,-121.7975,6.13,1,md,20,79,0.004758,0.06,nc,nc73486891,2020-11-25T05:16:05.783Z,"9km NNE of Alum Rock, CA",earthquake,0.25,0.24,0.269,18,reviewed,nc,nc
2020-11-25T04:19:30.500Z,38.1708,-117.8102,12.3,2.5,ml,25,59.37,0.055,0.1,nn,nn00786135,2020-11-25T04:22:41.503Z,"35 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-11-25T04:13:42.190Z,19.4115009307861,-155.274826049805,1.76999998092651,1.75,md,19,61,,0.289999992,hv,hv72243787,2020-11-25T04:19:12.220Z,"5 km SW of Volcano, Hawaii",earthquake,0.42,0.439999998,0.829999983,12,automatic,hv,hv
2020-11-25T04:12:15.850Z,18.014,-66.798,15,1.94,md,14,138,0.09,0.17,pr,pr2020330002,2020-11-25T04:30:28.398Z,"0 km SW of Guayanilla, Puerto Rico",earthquake,0.5,0.47,0.32,12,reviewed,pr,pr
2020-11-25T04:08:10.860Z,38.8125,-122.8151703,2.96,0.8,md,24,52,0.01153,0.02,nc,nc73486886,2020-11-25T05:28:04.862Z,"6km NW of The Geysers, CA",earthquake,0.22,0.44,0.2,6,automatic,nc,nc
2020-11-25T04:04:58.740Z,-31.2777,-69.0439,114.62,4.8,mb,,58,0.407,1.05,us,us6000csbu,2020-11-25T10:11:10.587Z,"36 km E of Calingasta, Argentina",earthquake,8,5.9,0.069,65,reviewed,us,us
2020-11-25T04:02:47.760Z,37.6376667,-118.9265,5.05,0.22,md,8,243,0.02379,0.02,nc,nc73486881,2020-11-25T05:53:05.009Z,"5km E of Mammoth Lakes, CA",earthquake,0.96,0.53,0.141,8,reviewed,nc,nc
2020-11-25T04:01:58.580Z,17.9565,-67.136,8,2.15,md,13,237,0.0565,0.14,pr,pr2020330001,2020-11-25T04:25:09.214Z,"5 km ESE of Pole Ojea, Puerto Rico",earthquake,0.7,0.63,0.06,7,reviewed,pr,pr
2020-11-25T03:34:54.780Z,36.5121651,-121.078331,8.75,1.28,md,6,126,0.05909,0.05,nc,nc73486871,2020-11-25T04:36:04.526Z,"6km ESE of Pinnacles, CA",earthquake,0.95,1.83,0.06,7,automatic,nc,nc
2020-11-25T03:29:07.090Z,37.6051674,-118.9118347,1.74,0.86,md,9,206,0.007452,0.02,nc,nc73486866,2020-11-25T04:09:06.368Z,"7km ESE of Mammoth Lakes, CA",earthquake,0.86,0.39,0.05,12,automatic,nc,nc
2020-11-25T02:47:50.570Z,38.1742,-117.8353,4.9,1.5,ml,18,109.39,0.022,0.12,nn,nn00786127,2020-11-25T03:15:19.511Z,"33 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-25T02:26:07.971Z,59.9885,-151.7037,62.4,1.6,ml,,,,0.44,ak,ak020f5sozes,2020-11-25T02:30:51.473Z,"4 km NNE of Happy Valley, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-25T02:25:25.519Z,8.5339,126.7349,51.48,4.6,mb,,128,1.851,0.45,us,us6000csbh,2020-11-25T02:48:45.040Z,"47 km ENE of Hinatuan, Philippines",earthquake,10.7,8.5,0.095,33,reviewed,us,us
2020-11-25T02:23:51.190Z,35.859,-117.6943333,5.44,1.1,ml,17,74,0.07629,0.15,ci,ci39476367,2020-11-25T02:27:32.605Z,"21km ESE of Little Lake, CA",earthquake,0.27,0.87,0.191,16,automatic,ci,ci
2020-11-25T02:20:18.973Z,35.9859,139.9635,47.29,4.3,mwr,,116,1.522,0.9,us,us6000csbg,2020-11-25T07:42:02.386Z,"3 km SSW of Mitsukaidō, Japan",earthquake,6.6,6.5,0.066,22,reviewed,us,us
2020-11-25T02:10:22.950Z,37.138,-116.9932,1.2,1.4,ml,13,190.22,0.71,0.27,nn,nn00786125,2020-11-25T02:24:59.701Z,"32 km NW of Beatty, Nevada",earthquake,,23.6,,,automatic,nn,nn
2020-11-25T02:07:32.920Z,37.9466667,-122.0688324,11.73,1.7,md,25,60,0.09034,0.07,nc,nc73486856,2020-11-25T03:18:05.072Z,"1km WSW of Pleasant Hill, CA",earthquake,0.26,0.57,0.18,17,automatic,nc,nc
2020-11-25T02:05:48.128Z,64.9578,-148.0687,23.3,1.2,ml,,,,0.4,ak,ak020f5skkgv,2020-11-25T02:12:29.539Z,"12 km NNW of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-25T01:59:18.360Z,17.9471,-66.9103,15,2.12,md,12,209,0.0418,0.22,pr,pr2020330000,2020-11-25T02:54:14.878Z,"2 km S of Guánica, Puerto Rico",earthquake,0.89,0.65,0.09,8,reviewed,pr,pr
2020-11-25T01:50:58.200Z,19.4063339233398,-155.301498413086,-0.0299999993294477,1.81,ml,10,82,,0.119999997,hv,hv72243632,2020-11-25T01:56:29.520Z,"8 km WSW of Volcano, Hawaii",earthquake,0.27,0.189999998,0.54,4,automatic,hv,hv
2020-11-25T01:48:07.180Z,60.8818,-151.4417,74.1,1.6,ml,,,,0.68,ak,ak020f5s89hn,2020-11-25T01:53:57.393Z,"22 km NNW of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-25T01:24:54.350Z,34.7485,-116.304,6.61,1.64,ml,15,46,0.08465,0.15,ci,ci39476351,2020-11-25T01:28:32.277Z,"14km WNW of Ludlow, CA",earthquake,0.29,0.75,0.234,25,automatic,ci,ci
2020-11-25T01:24:45.120Z,38.8356667,-122.8183365,1.57,0.56,md,14,66,0.01371,0.02,nc,nc73486851,2020-11-25T02:09:07.677Z,"8km W of Cobb, CA",earthquake,0.3,0.63,,1,automatic,nc,nc
2020-11-25T01:22:26.147Z,63.8824,-149.9967,16.4,1.9,ml,,,,0.55,ak,ak020f5s2qc5,2020-11-25T01:26:04.417Z,"45 km WSW of Ferry, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-25T01:15:08.553Z,61.7024,-150.004,13.3,1.7,ml,,,,0.45,ak,ak020f5s16yt,2020-11-25T01:26:04.288Z,"5 km SSE of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-25T01:08:40.560Z,33.6598333,-116.7383333,13.75,0.42,ml,17,72,0.05502,0.18,ci,ci39476343,2020-11-25T01:12:28.184Z,"9km SSW of Idyllwild, CA",earthquake,0.48,0.79,0.16,7,automatic,ci,ci
2020-11-25T01:05:37.232Z,61.7575,-150.5403,62,1.7,ml,,,,0.36,ak,ak020f5rz40r,2020-11-25T01:09:52.170Z,"23 km N of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-25T00:57:59.214Z,61.323,-147.3653,19.3,1.8,ml,,,,0.71,ak,ak020f5rovcg,2020-11-25T01:04:11.433Z,"56 km SSE of Glacier View, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-25T00:57:49.721Z,36.29455185,-98.12944794,1.681597948,2.44,ml,37,70.25123215,0.2406122237,0.7122064141,ok,ok2020xdek,2020-11-25T01:01:50.736Z,"7 km NE of Ames, Oklahoma",earthquake,1.873185066,1.525015709,,29,automatic,ok,ok
2020-11-25T00:37:29.082Z,64.0192,-148.7879,0,1.9,ml,,,,0.72,ak,ak020f5rkipa,2020-11-25T00:51:09.837Z,"16 km E of Ferry, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-25T00:36:20.220Z,19.2291660308838,-155.406326293945,31.6499996185303,2.20000005,md,23,155,,0.0900000036,hv,hv72243557,2020-11-25T00:39:33.770Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.73,0.939999998,2.20000005,4,automatic,hv,hv
2020-11-25T00:36:07.980Z,19.2269992828369,-155.399169921875,32.7000007629395,2.53999996,md,37,149,,0.109999999,hv,hv72243552,2020-11-25T00:39:16.780Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.65,0.889999986,2.08999991,6,automatic,hv,hv
2020-11-25T00:32:01.057Z,58.862,-150.5832,29.9,2.6,ml,,,,0.5,ak,ak020f5rjdvp,2020-11-25T04:32:13.040Z,"89 km SSE of Halibut Cove, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-25T00:21:08.240Z,19.3964996337891,-155.272827148438,1.49000000953674,1.94,ml,13,53,,0.209999993,hv,hv72243532,2020-11-25T00:26:37.730Z,"6 km SW of Volcano, Hawaii",earthquake,0.29,0.519999981,0.06,3,automatic,hv,hv
2020-11-25T00:15:57.650Z,38.2027,-117.8117,1,1.2,ml,14,109.73,0.025,0.26,nn,nn00786112,2020-11-25T00:40:36.202Z,"33 km SE of Mina, Nevada",earthquake,,9.8,,,automatic,nn,nn
2020-11-25T00:15:54.926Z,60.1144,-147.793,15.6,2.1,ml,,,,0.76,ak,ak020f5rfuxw,2020-11-25T00:35:27.141Z,"13 km ENE of Chenega, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-25T00:13:31.130Z,33.5305,-116.7315,3.72,0.43,ml,20,45,0.03514,0.09,ci,ci39476319,2020-11-25T00:31:44.359Z,"6km WSW of Anza, CA",earthquake,0.15,0.3,0.186,9,reviewed,ci,ci
2020-11-25T00:12:39.978Z,64.9861,-147.3196,2.2,1.6,ml,,,,0.44,ak,ak020f5rf6nd,2020-11-25T00:21:35.341Z,"14 km ENE of Fox, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-25T00:09:58.670Z,19.3896675109863,-155.273162841797,1.17999994754791,1.79,ml,12,96,,0.280000001,hv,hv72243517,2020-11-25T00:15:27.810Z,"7 km SW of Volcano, Hawaii",earthquake,0.48,0.629999995,0.46,7,automatic,hv,hv
2020-11-25T00:07:39.910Z,19.4038333333333,-155.267166666667,1.77,1.35,ml,13,65,,0.11,hv,hv72243512,2020-11-25T01:11:12.900Z,"5 km SW of Volcano, Hawaii",earthquake,0.27,0.35,0.112071607471277,5,reviewed,hv,hv
2020-11-25T00:05:42.960Z,34.4211667,-118.9556667,4.97,2.01,ml,40,30,0.03089,0.26,ci,ci39476295,2020-11-25T00:16:48.230Z,"4km NW of Fillmore, CA",earthquake,0.35,0.94,0.16,28,automatic,ci,ci
2020-11-25T00:03:58.920Z,43.8086666666667,-121.417666666667,-1.59,2.38,ml,11,151,0.03759,0.15,uw,uw61692787,2020-11-25T03:17:54.330Z,"4 km ESE of Three Rivers, Oregon",earthquake,0.34,0.29,0.0544609872281869,10,reviewed,uw,uw
2020-11-25T00:00:00.960Z,19.3973331451416,-155.253173828125,0.629999995231628,1.99,ml,11,163,,0.129999995,hv,hv72243492,2020-11-25T00:05:31.800Z,"5 km SSW of Volcano, Hawaii",earthquake,0.28,0.469999999,0.79,10,automatic,hv,hv
2020-11-24T23:59:18.947Z,64.167,-149.9349,1.5,2,ml,,,,0.95,ak,ak020f4huu38,2020-11-25T00:15:34.117Z,"37 km WSW of Clear, Alaska, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-24T23:57:01.840Z,19.4063333333333,-155.2735,1.77,0.53,md,16,55,,0.11,hv,hv72243482,2020-11-25T04:28:55.960Z,"5 km SW of Volcano, Hawaii",earthquake,0.2,0.41,0.0265928344102115,4,reviewed,hv,hv
2020-11-24T23:55:52.560Z,17.9391,-66.9091,14,2.37,md,14,204,0.0468,0.13,pr,pr2020329015,2020-11-25T00:42:44.246Z,"3 km S of Guánica, Puerto Rico",earthquake,0.69,0.58,0.16,8,reviewed,pr,pr
